level,cluster_key,slug,chosen_model,successes,attempts
2,root_c0_c1_c0,JacksonDatabind_17,gen,9,10
2,root_c0_c1_c0,JacksonDatabind_61,gen,2,10
2,root_c0_c1_c0,JacksonDatabind_93,gen,9,10
2,root_c0_c1_c1,JacksonDatabind_107,gen,1,10
2,root_c0_c1_c1,JacksonDatabind_88,gen,1,10
2,root_c0_c1_c2,JacksonDatabind_47,gen,9,10
2,root_c0_c1_c2,JacksonDatabind_67,gen,4,10
2,root_c0_c2_c0,JacksonDatabind_41,gen,9,10
2,root_c0_c2_c2,JacksonDatabind_63,gen,1,10
2,root_c0_c2_c2,JacksonDatabind_99,gen,6,10
2,root_c0_c3_c0,JacksonDatabind_12,gen,10,10
2,root_c0_c3_c0,JacksonDatabind_19,gen,9,10
2,root_c0_c3_c0,JacksonDatabind_48,gen,10,10
2,root_c0_c3_c0,JacksonDatabind_58,gen,5,10
2,root_c0_c3_c1,JacksonDatabind_33,sr,1,10
2,root_c0_c3_c1,JacksonDatabind_54,sr,2,10
2,root_c0_c3_c1,JacksonDatabind_64,sr,5,5
2,root_c0_c3_c2,JacksonDatabind_112,gen,9,10
2,root_c0_c3_c2,JacksonDatabind_27,gen,6,10
2,root_c0_c3_c2,JacksonDatabind_5,gen,1,10
2,root_c0_c3_c2,JacksonDatabind_8,gen,2,10
2,root_c0_c3_c2,JacksonDatabind_90,gen,1,10
2,root_c0_c3_c2,JacksonDatabind_96,gen,2,10
2,root_c0_c4_c0,Closure_46,gen,10,10
2,root_c0_c4_c1,Gson_14,gen,1,10
2,root_c0_c4_c2,Gson_2,gen,10,10
2,root_c0_c4_c2,Gson_6,gen,8,10
2,root_c1_c0_c0,Codec_2,gen,9,10
2,root_c1_c0_c0,Codec_5,gen,7,10
2,root_c1_c0_c1,Codec_4,gen,10,10
2,root_c1_c0_c1,Codec_7,gen,10,10
2,root_c1_c0_c2,Jsoup_90,sr,10,10
2,root_c1_c1_c0,Compress_11,gen,2,10
2,root_c1_c1_c0,Compress_12,gen,10,10
2,root_c1_c1_c0,Compress_28,gen,10,10
2,root_c1_c1_c0,Compress_32,gen,6,10
2,root_c1_c1_c0,Compress_37,gen,3,10
2,root_c1_c1_c1,Compress_14,gen,2,10
2,root_c1_c1_c1,Compress_24,gen,7,10
2,root_c1_c1_c1,Compress_27,gen,5,10
2,root_c1_c1_c1,Compress_31,gen,5,10
2,root_c1_c1_c1,Compress_7,gen,10,10
2,root_c1_c1_c2,Compress_10,gen,1,10
2,root_c1_c1_c2,Compress_13,gen,10,10
2,root_c1_c1_c2,Compress_15,gen,10,10
2,root_c1_c1_c2,Compress_19,gen,10,10
2,root_c1_c1_c2,Compress_23,gen,4,10
2,root_c1_c1_c2,Compress_25,gen,5,10
2,root_c1_c1_c2,Compress_41,gen,10,10
2,root_c1_c1_c2,Compress_46,gen,8,10
2,root_c1_c1_c2,Compress_5,gen,8,10
2,root_c1_c2_c0,Compress_1,sr,10,10
2,root_c1_c3_c0,Compress_21,gen,10,10
2,root_c1_c3_c1,Compress_26,gen,10,10
2,root_c1_c3_c1,Compress_30,gen,10,10
2,root_c1_c3_c2,Compress_44,gen,10,10
2,root_c1_c4_c1,Codec_9,sr,10,10
2,root_c2_c0_c0,Math_19,gen,8,10
2,root_c2_c0_c0,Math_25,gen,5,10
2,root_c2_c0_c0,Math_38,gen,6,10
2,root_c2_c0_c1,Math_3,sr,10,10
2,root_c2_c0_c2,Math_80,gen,10,10
2,root_c2_c0_c2,Math_81,gen,3,10
2,root_c2_c0_c2,Math_86,gen,5,10
2,root_c2_c1_c0,Math_29,gen,6,10
2,root_c2_c1_c0,Math_77,gen,10,10
2,root_c2_c1_c1,Math_35,gen,10,10
2,root_c2_c1_c1,Math_45,gen,10,10
2,root_c2_c1_c1,Math_8,gen,3,10
2,root_c2_c1_c2,Math_98,sr,10,10
2,root_c2_c2_c0,Chart_13,gen,10,10
2,root_c2_c2_c1,Math_20,gen,9,10
2,root_c2_c2_c2,Math_28,sr,1,10
2,root_c2_c2_c2,Math_4,sr,10,10
2,root_c2_c2_c2,Math_82,sr,10,10
2,root_c2_c3_c0,Math_23,gen,3,10
2,root_c2_c3_c0,Math_24,gen,6,10
2,root_c2_c3_c0,Math_84,gen,1,10
2,root_c2_c3_c1,Math_48,sr,5,10
2,root_c2_c3_c1,Math_70,sr,10,10
2,root_c2_c3_c1,Math_72,sr,4,10
2,root_c2_c3_c1,Math_73,sr,10,10
2,root_c2_c3_c1,Math_85,sr,2,10
2,root_c2_c3_c1,Math_97,sr,8,10
2,root_c2_c3_c2,Math_39,gen,7,10
2,root_c2_c3_c2,Math_78,gen,6,10
2,root_c2_c3_c2,Math_7,gen,2,10
2,root_c2_c4_c0,Math_103,gen,10,10
2,root_c2_c4_c0,Math_11,gen,5,10
2,root_c2_c4_c0,Math_22,gen,10,10
2,root_c2_c4_c0,Math_2,gen,10,10
2,root_c2_c4_c0,Math_31,gen,6,10
2,root_c2_c4_c0,Math_41,gen,10,10
2,root_c2_c4_c0,Math_60,gen,3,10
2,root_c2_c4_c0,Math_95,gen,9,10
