level,cluster_key,cluster_file,size_raw,size_unique,representatives,chosen_model,reason,rep_gen_successes,rep_sr_successes
2,root_c0_c0_c0,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c0_c0_c0.json,2,2,Gson_1_query,gen,rep_not_fixed_by_either_default_gen,0,0
2,root_c0_c0_c1,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c0_c0_c1.json,4,4,Mockito_20_query,gen,rep_not_fixed_by_either_default_gen,0,0
2,root_c0_c0_c2,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c0_c0_c2.json,2,2,Mockito_7_query,gen,rep_not_fixed_by_either_default_gen,0,0
2,root_c0_c1_c0,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c0_c1_c0.json,5,5,JacksonDatabind_44_query,gen,rep_not_fixed_by_either_default_gen,0,0
2,root_c0_c1_c1,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c0_c1_c1.json,8,8,JacksonDatabind_107_query,gen,rep_fixed_by_gen_only,1,0
2,root_c0_c1_c2,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c0_c1_c2.json,4,4,JacksonDatabind_81_query,gen,rep_not_fixed_by_either_default_gen,0,0
2,root_c0_c2_c0,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c0_c2_c0.json,2,2,JacksonDatabind_11_query,gen,rep_not_fixed_by_either_default_gen,0,0
2,root_c0_c2_c1,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c0_c2_c1.json,1,1,JacksonDatabind_46_query,gen,rep_not_fixed_by_either_default_gen,0,0
2,root_c0_c2_c2,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c0_c2_c2.json,4,4,JacksonDatabind_99_query,gen,both_fix_rep_gen_more_success(6>5),6,5
2,root_c0_c3_c0,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c0_c3_c0.json,5,5,JacksonDatabind_82_query,gen,rep_not_fixed_by_either_default_gen,0,0
2,root_c0_c3_c1,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c0_c3_c1.json,5,5,JacksonDatabind_64_query,sr,rep_fixed_by_sr_only,0,5
2,root_c0_c3_c2,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c0_c3_c2.json,10,10,JacksonDatabind_69_query,gen,rep_not_fixed_by_either_default_gen,0,0
2,root_c0_c4_c0,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c0_c4_c0.json,1,1,Closure_46_query,gen,both_fix_rep_gen_more_success(10>4),10,4
2,root_c0_c4_c1,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c0_c4_c1.json,3,3,Gson_14_query,gen,rep_fixed_by_gen_only,1,0
2,root_c0_c4_c2,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c0_c4_c2.json,3,3,Gson_6_query,gen,both_fix_rep_gen_more_success(8>5),8,5
2,root_c1_c0_c0,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c1_c0_c0.json,2,2,Codec_2_query,gen,rep_fixed_by_gen_only,9,0
2,root_c1_c0_c1,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c1_c0_c1.json,2,2,Codec_4_query,gen,both_fix_rep_gen_more_success(10>7),10,7
2,root_c1_c0_c2,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c1_c0_c2.json,1,1,Jsoup_90_query,sr,both_fix_rep_tie_success(10==10),10,10
2,root_c1_c1_c0,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c1_c1_c0.json,9,9,Compress_12_query,gen,both_fix_rep_gen_more_success(10>5),10,5
2,root_c1_c1_c1,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c1_c1_c1.json,8,8,Compress_27_query,gen,rep_fixed_by_gen_only,5,0
2,root_c1_c1_c2,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c1_c1_c2.json,13,13,Compress_25_query,gen,both_fix_rep_gen_more_success(5>1),5,1
2,root_c1_c2_c0,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c1_c2_c0.json,2,2,Compress_1_query,sr,both_fix_rep_sr_more_success(10>6),6,10
2,root_c1_c2_c1,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c1_c2_c1.json,1,1,Compress_4_query,gen,rep_not_fixed_by_either_default_gen,0,0
2,root_c1_c2_c2,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c1_c2_c2.json,1,1,Compress_9_query,gen,rep_not_fixed_by_either_default_gen,0,0
2,root_c1_c3_c0,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c1_c3_c0.json,1,1,Compress_21_query,gen,both_fix_rep_gen_more_success(10>4),10,4
2,root_c1_c3_c1,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c1_c3_c1.json,3,3,Compress_30_query,gen,both_fix_rep_gen_more_success(10>5),10,5
2,root_c1_c3_c2,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c1_c3_c2.json,1,1,Compress_44_query,gen,both_fix_rep_gen_more_success(10>5),10,5
2,root_c1_c4_c0,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c1_c4_c0.json,1,1,Codec_6_query,gen,rep_not_fixed_by_either_default_gen,0,0
2,root_c1_c4_c1,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c1_c4_c1.json,1,1,Codec_9_query,sr,both_fix_rep_tie_success(10==10),10,10
2,root_c1_c4_c2,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c1_c4_c2.json,1,1,Codec_8_query,gen,rep_not_fixed_by_either_default_gen,0,0
2,root_c2_c0_c0,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c2_c0_c0.json,10,10,Math_68_query,gen,rep_not_fixed_by_either_default_gen,0,0
2,root_c2_c0_c1,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c2_c0_c1.json,3,3,Math_3_query,sr,both_fix_rep_tie_success(10==10),10,10
2,root_c2_c0_c2,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c2_c0_c2.json,6,6,Math_21_query,gen,rep_not_fixed_by_either_default_gen,0,0
2,root_c2_c1_c0,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c2_c1_c0.json,3,3,Math_49_query,gen,rep_not_fixed_by_either_default_gen,0,0
2,root_c2_c1_c1,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c2_c1_c1.json,3,3,Math_8_query,gen,rep_fixed_by_gen_only,3,0
2,root_c2_c1_c2,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c2_c1_c2.json,1,1,Math_98_query,sr,rep_fixed_by_sr_only,0,10
2,root_c2_c2_c0,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c2_c2_c0.json,1,1,Chart_13_query,gen,both_fix_rep_gen_more_success(10>1),10,1
2,root_c2_c2_c1,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c2_c2_c1.json,7,7,Math_83_query,gen,rep_not_fixed_by_either_default_gen,0,0
2,root_c2_c2_c2,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c2_c2_c2.json,3,3,Math_82_query,sr,both_fix_rep_tie_success(10==10),10,10
2,root_c2_c3_c0,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c2_c3_c0.json,6,6,Math_24_query,gen,both_fix_rep_gen_more_success(6>1),6,1
2,root_c2_c3_c1,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c2_c3_c1.json,9,9,Math_73_query,sr,both_fix_rep_tie_success(10==10),10,10
2,root_c2_c3_c2,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c2_c3_c2.json,6,6,Math_71_query,gen,rep_not_fixed_by_either_default_gen,0,0
2,root_c2_c4_c0,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c2_c4_c0.json,8,8,Math_103_query,gen,both_fix_rep_gen_more_success(10>7),10,7
2,root_c2_c4_c1,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c2_c4_c1.json,3,3,Math_69_query,gen,both_fix_rep_gen_more_success(9>4),9,4
2,root_c2_c4_c2,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c2_c4_c2.json,3,3,Math_79_query,gen,rep_not_fixed_by_either_default_gen,0,0
2,root_c3_c0_c0,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c3_c0_c0.json,3,3,JxPath_10_query,gen,rep_not_fixed_by_either_default_gen,0,0
2,root_c3_c0_c1,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c3_c0_c1.json,2,2,JxPath_21_query,gen,rep_not_fixed_by_either_default_gen,0,0
2,root_c3_c0_c2,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c3_c0_c2.json,2,2,JxPath_8_query,sr,both_fix_rep_sr_more_success(10>6),6,10
2,root_c3_c1_c0,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c3_c1_c0.json,6,6,Math_36_query,gen,rep_not_fixed_by_either_default_gen,0,0
2,root_c3_c1_c1,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c3_c1_c1.json,1,1,Math_43_query,gen,rep_not_fixed_by_either_default_gen,0,0
2,root_c3_c1_c2,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c3_c1_c2.json,6,6,Math_99_query,gen,rep_not_fixed_by_either_default_gen,0,0
2,root_c3_c2_c0,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c3_c2_c0.json,2,2,Math_37_query,gen,rep_not_fixed_by_either_default_gen,0,0
2,root_c3_c2_c1,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c3_c2_c1.json,1,1,Math_53_query,sr,both_fix_rep_sr_more_success(8>7),7,8
2,root_c3_c2_c2,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c3_c2_c2.json,2,2,Math_5_query,gen,both_fix_rep_gen_more_success(2>1),2,1
2,root_c3_c3_c0,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c3_c3_c0.json,1,1,Chart_11_query,gen,both_fix_rep_gen_more_success(10>9),10,9
2,root_c3_c3_c1,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c3_c3_c1.json,5,5,Math_63_query,sr,both_fix_rep_sr_more_success(8>2),2,8
2,root_c3_c3_c2,/home/base/APR/D4C/dpp/result_cluster/level_2/root_c3_c3_c2.json,1,1,Mockito_22_query,gen,both_fix_rep_gen_more_success(10>9),10,9
