level,cluster_key,slug,chosen_model,successes,attempts
1,root_c0_c1,JacksonDatabind_107,gen,1,10
1,root_c0_c1,JacksonDatabind_17,gen,9,10
1,root_c0_c1,JacksonDatabind_47,gen,9,10
1,root_c0_c1,JacksonDatabind_61,gen,2,10
1,root_c0_c1,JacksonDatabind_67,gen,4,10
1,root_c0_c1,JacksonDatabind_88,gen,1,10
1,root_c0_c1,JacksonDatabind_93,gen,9,10
1,root_c0_c2,JacksonDatabind_41,gen,9,10
1,root_c0_c2,JacksonDatabind_63,gen,1,10
1,root_c0_c2,JacksonDatabind_99,gen,6,10
1,root_c0_c3,JacksonDatabind_112,gen,9,10
1,root_c0_c3,JacksonDatabind_12,gen,10,10
1,root_c0_c3,JacksonDatabind_19,gen,9,10
1,root_c0_c3,JacksonDatabind_27,gen,6,10
1,root_c0_c3,JacksonDatabind_33,gen,10,10
1,root_c0_c3,JacksonDatabind_48,gen,10,10
1,root_c0_c3,JacksonDatabind_54,gen,6,10
1,root_c0_c3,JacksonDatabind_58,gen,5,10
1,root_c0_c3,JacksonDatabind_5,gen,1,10
1,root_c0_c3,JacksonDatabind_8,gen,2,10
1,root_c0_c3,JacksonDatabind_90,gen,1,10
1,root_c0_c3,JacksonDatabind_96,gen,2,10
1,root_c0_c4,Closure_46,gen,10,10
1,root_c0_c4,Gson_14,gen,1,10
1,root_c0_c4,Gson_2,gen,10,10
1,root_c0_c4,Gson_6,gen,8,10
1,root_c1_c0,Codec_2,gen,9,10
1,root_c1_c0,Codec_4,gen,10,10
1,root_c1_c0,Codec_5,gen,7,10
1,root_c1_c0,Codec_7,gen,10,10
1,root_c1_c0,Jsoup_90,gen,10,10
1,root_c1_c1,Compress_10,gen,1,10
1,root_c1_c1,Compress_11,gen,2,10
1,root_c1_c1,Compress_12,gen,10,10
1,root_c1_c1,Compress_13,gen,10,10
1,root_c1_c1,Compress_14,gen,2,10
1,root_c1_c1,Compress_15,gen,10,10
1,root_c1_c1,Compress_19,gen,10,10
1,root_c1_c1,Compress_23,gen,4,10
1,root_c1_c1,Compress_24,gen,7,10
1,root_c1_c1,Compress_25,gen,5,10
1,root_c1_c1,Compress_27,gen,5,10
1,root_c1_c1,Compress_28,gen,10,10
1,root_c1_c1,Compress_31,gen,5,10
1,root_c1_c1,Compress_32,gen,6,10
1,root_c1_c1,Compress_37,gen,3,10
1,root_c1_c1,Compress_41,gen,10,10
1,root_c1_c1,Compress_46,gen,8,10
1,root_c1_c1,Compress_5,gen,8,10
1,root_c1_c1,Compress_7,gen,10,10
1,root_c1_c2,Compress_1,sr,10,10
1,root_c1_c3,Compress_21,gen,10,10
1,root_c1_c3,Compress_26,gen,10,10
1,root_c1_c3,Compress_30,gen,10,10
1,root_c1_c3,Compress_44,gen,10,10
1,root_c1_c4,Codec_9,gen,10,10
1,root_c2_c0,Math_19,gen,8,10
1,root_c2_c0,Math_25,gen,5,10
1,root_c2_c0,Math_32,gen,2,10
1,root_c2_c0,Math_38,gen,6,10
1,root_c2_c0,Math_3,gen,10,10
1,root_c2_c0,Math_80,gen,10,10
1,root_c2_c0,Math_81,gen,3,10
1,root_c2_c0,Math_86,gen,5,10
1,root_c2_c1,Math_29,gen,6,10
1,root_c2_c1,Math_35,gen,10,10
1,root_c2_c1,Math_45,gen,10,10
1,root_c2_c1,Math_77,gen,10,10
1,root_c2_c1,Math_8,gen,3,10
1,root_c2_c2,Chart_13,gen,10,10
1,root_c2_c2,Math_20,gen,9,10
1,root_c2_c2,Math_4,gen,10,10
1,root_c2_c2,Math_82,gen,10,10
1,root_c2_c3,Math_24,sr,1,10
1,root_c2_c3,Math_48,sr,5,10
1,root_c2_c3,Math_70,sr,10,10
1,root_c2_c3,Math_72,sr,4,10
1,root_c2_c3,Math_73,sr,10,10
1,root_c2_c3,Math_78,sr,5,9
1,root_c2_c3,Math_84,sr,1,10
1,root_c2_c3,Math_85,sr,2,10
1,root_c2_c3,Math_97,sr,8,10
1,root_c2_c4,Math_102,gen,7,7
1,root_c2_c4,Math_103,gen,10,10
1,root_c2_c4,Math_105,gen,1,10
1,root_c2_c4,Math_11,gen,5,10
1,root_c2_c4,Math_22,gen,10,10
1,root_c2_c4,Math_2,gen,10,10
1,root_c2_c4,Math_31,gen,6,10
1,root_c2_c4,Math_41,gen,10,10
1,root_c2_c4,Math_57,gen,8,10
1,root_c2_c4,Math_60,gen,3,10
1,root_c2_c4,Math_69,gen,9,10
1,root_c2_c4,Math_95,gen,9,10
1,root_c3_c0,JxPath_5,gen,5,10
1,root_c3_c0,JxPath_8,gen,6,10
1,root_c3_c1,Lang_22,gen,2,10
1,root_c3_c1,Lang_49,gen,10,10
1,root_c3_c1,Math_1,gen,7,10
1,root_c3_c1,Math_26,gen,9,10
1,root_c3_c1,Math_27,gen,10,10
1,root_c3_c1,Math_54,gen,2,10
1,root_c3_c1,Math_91,gen,10,10
1,root_c3_c1,Time_15,gen,10,10
1,root_c3_c2,Math_46,sr,1,10
1,root_c3_c2,Math_53,sr,8,10
1,root_c3_c2,Math_5,sr,1,10
1,root_c3_c3,Chart_11,sr,9,10
1,root_c3_c3,Math_59,sr,10,10
1,root_c3_c3,Math_63,sr,8,10
1,root_c3_c3,Math_94,sr,5,10
1,root_c3_c3,Mockito_22,sr,9,10
1,root_c3_c4,Collections_17,sr,2,10
1,root_c4_c0,Closure_152,gen,2,10
1,root_c4_c0,Closure_19,gen,8,10
1,root_c4_c0,Closure_39,gen,3,10
1,root_c4_c0,Closure_41,gen,3,10
1,root_c4_c1,Closure_12,gen,3,10
1,root_c4_c1,Closure_15,gen,5,10
1,root_c4_c1,Closure_36,gen,9,10
1,root_c4_c1,Closure_58,gen,7,10
1,root_c4_c1,Closure_76,gen,1,10
1,root_c4_c2,Closure_61,gen,7,10
1,root_c4_c2,Closure_78,gen,10,10
1,root_c4_c2,Closure_86,gen,4,10
1,root_c4_c2,Closure_94,gen,8,10
1,root_c4_c2,Closure_97,gen,4,10
1,root_c4_c3,Closure_145,gen,2,10
1,root_c4_c3,Closure_53,gen,9,10
1,root_c4_c4,Closure_18,gen,7,10
1,root_c4_c4,Closure_57,gen,10,10
1,root_c4_c4,Closure_59,gen,4,10
1,root_c4_c4,Closure_92,gen,4,10
1,root_c4_c4,Closure_9,gen,2,10
1,root_c5_c0,Chart_5,gen,4,10
1,root_c5_c0,Chart_7,gen,10,10
1,root_c5_c0,Chart_9,gen,4,10
1,root_c5_c1,Lang_21,gen,8,10
1,root_c5_c1,Lang_26,gen,10,10
1,root_c5_c1,Lang_50,gen,10,10
1,root_c5_c1,Lang_63,gen,3,10
1,root_c5_c1,Time_23,gen,9,10
1,root_c5_c1,Time_27,gen,9,10
1,root_c5_c3,Chart_8,sr,10,10
1,root_c5_c3,Gson_5,sr,10,10
1,root_c5_c3,JacksonDatabind_6,sr,1,10
1,root_c5_c3,Lang_53,sr,10,10
1,root_c5_c3,Time_16,sr,7,10
1,root_c5_c3,Time_18,sr,2,10
1,root_c5_c3,Time_19,sr,1,10
1,root_c5_c3,Time_20,sr,1,10
1,root_c5_c3,Time_7,sr,2,10
1,root_c5_c3,Time_8,sr,1,10
1,root_c5_c4,Chart_12,gen,10,10
1,root_c5_c4,Chart_14,gen,2,10
1,root_c5_c4,Chart_15,gen,10,10
1,root_c5_c4,Chart_16,gen,1,10
1,root_c5_c4,Chart_1,gen,10,10
1,root_c5_c4,Chart_20,gen,10,10
1,root_c5_c4,Chart_24,gen,10,10
1,root_c5_c4,Chart_25,gen,10,10
1,root_c5_c4,Chart_26,gen,10,10
1,root_c5_c4,Chart_4,gen,10,10
1,root_c5_c4,Math_75,gen,10,10
1,root_c6_c0,Closure_38,sr,1,10
1,root_c6_c0,Closure_51,sr,4,10
1,root_c6_c1,JacksonCore_19,gen,8,10
1,root_c6_c1,JacksonCore_5,gen,10,10
1,root_c6_c1,JacksonCore_6,gen,10,10
1,root_c6_c1,Math_106,gen,10,10
1,root_c6_c2,Cli_3,sr,10,10
1,root_c6_c2,Lang_16,sr,10,10
1,root_c6_c2,Lang_24,sr,10,10
1,root_c6_c2,Lang_27,sr,5,10
1,root_c6_c2,Lang_44,sr,9,10
1,root_c6_c2,Lang_58,sr,9,10
1,root_c6_c2,Lang_7,sr,5,10
1,root_c6_c3,Lang_3,gen,3,10
1,root_c6_c4,Closure_128,sr,7,10
1,root_c6_c4,Closure_52,sr,9,10
1,root_c7_c0,Cli_12,gen,8,10
1,root_c7_c0,Cli_28,gen,7,10
1,root_c7_c0,Cli_35,gen,10,10
1,root_c7_c0,Cli_5,gen,10,10
1,root_c7_c1,Csv_10,gen,10,10
1,root_c7_c1,Csv_11,gen,10,10
1,root_c7_c1,Csv_15,gen,2,10
1,root_c7_c1,Csv_2,gen,10,10
1,root_c7_c1,Csv_3,gen,2,10
1,root_c7_c1,Csv_4,gen,10,10
1,root_c7_c1,Csv_5,gen,10,10
1,root_c7_c1,Csv_6,gen,10,10
1,root_c7_c1,Csv_9,gen,10,10
1,root_c7_c1,Jsoup_48,gen,10,10
1,root_c7_c2,Chart_18,gen,1,10
1,root_c7_c2,Chart_6,gen,10,10
1,root_c7_c2,Collections_13,gen,1,10
1,root_c7_c2,Collections_19,gen,1,10
1,root_c7_c2,Collections_23,gen,10,10
1,root_c7_c2,Collections_3,gen,10,10
1,root_c7_c2,Collections_5,gen,5,10
1,root_c7_c2,JacksonCore_23,gen,10,10
1,root_c7_c2,Jsoup_89,gen,10,10
1,root_c7_c2,Lang_33,gen,10,10
1,root_c7_c2,Lang_34,gen,10,10
1,root_c7_c2,Lang_37,gen,10,10
1,root_c7_c2,Lang_55,gen,10,10
1,root_c7_c2,Lang_64,gen,10,10
1,root_c7_c2,Math_34,gen,10,10
1,root_c7_c2,Math_89,gen,10,10
