level,cluster_key,cluster_file,size_raw,size_unique,representatives,chosen_model,reason,rep_gen_successes,rep_sr_successes
0,root_c0,/home/base/APR/D4C/dpp/result_cluster/level_0/root_c0.json,59,59,JacksonDatabind_59_query|JacksonDatabind_44_query|JacksonDatabind_47_query,gen,both_fix_rep_gen_more_success(9>7),9,7
0,root_c1,/home/base/APR/D4C/dpp/result_cluster/level_0/root_c1.json,47,47,Compress_17_query|Compress_14_query,gen,both_fix_rep_gen_more_success(2>1),2,1
0,root_c2,/home/base/APR/D4C/dpp/result_cluster/level_0/root_c2.json,72,72,Math_85_query|Math_64_query|Math_66_query,sr,both_fix_rep_tie_success(2==2),2,2
0,root_c3,/home/base/APR/D4C/dpp/result_cluster/level_0/root_c3.json,33,33,Math_96_query|Math_63_query,sr,both_fix_rep_sr_more_success(8>2),2,8
0,root_c4,/home/base/APR/D4C/dpp/result_cluster/level_0/root_c4.json,138,138,Closure_157_query|Closure_66_query|Closure_147_query|Closure_171_query,gen,rep_not_fixed_by_either_default_gen,0,0
0,root_c5,/home/base/APR/D4C/dpp/result_cluster/level_0/root_c5.json,54,54,Time_18_query|Time_24_query|Time_26_query,gen,both_fix_rep_gen_more_success(5>2),5,2
0,root_c6,/home/base/APR/D4C/dpp/result_cluster/level_0/root_c6.json,24,24,Lang_36_query,gen,rep_not_fixed_by_either_default_gen,0,0
0,root_c7,/home/base/APR/D4C/dpp/result_cluster/level_0/root_c7.json,131,131,Cli_5_query|Mockito_38_query|Lang_20_query|Lang_39_query,gen,both_fix_rep_gen_more_success(39>27),39,27
0,root_c8,/home/base/APR/D4C/dpp/result_cluster/level_0/root_c8.json,82,82,Jsoup_14_query|Jsoup_83_query|Jsoup_2_query|Jsoup_15_query,sr,rep_fixed_by_sr_only,0,4
0,root_c9,/home/base/APR/D4C/dpp/result_cluster/level_0/root_c9.json,56,56,JacksonDatabind_28_query|JacksonDatabind_7_query|JacksonDatabind_32_query,gen,both_fix_rep_gen_more_success(7>5),7,5
