case,model1_ts,model2_ts,ppl_diff,avgnll_diff,total_diff
Codec_4,20251218_075532,20251218_075543,0.08678302301246643,0.08179034010089677,0.16857336311336318
Jsoup_5,20251218_075532,20251218_075543,0.08681557563448217,0.07994162843415611,0.16675720406863828
Collections_26,20251218_075532,20251218_075543,0.08549155334453595,0.07955726768289294,0.1650488210274289
Math_69,20251218_075532,20251218_075543,0.08085063222394129,0.07708154355000466,0.15793217577394594
JacksonDatabind_11,20251218_075532,20251218_075543,0.08070148146955658,0.0756166011188171,0.15631808258837368
Jsoup_84,20251218_075532,20251218_075543,0.07870848238725836,0.07441226299621188,0.15312074538347026
Closure_29,20251218_075532,20251218_075543,0.07728908628303821,0.07398710619835626,0.15127619248139446
Closure_52,20251218_075532,20251218_075543,0.07722500437559865,0.07369282201201002,0.15091782638760867
Closure_159,20251218_075532,20251218_075543,0.07750300089977746,0.07313841557835317,0.15064141647813062
Jsoup_40,20251218_075532,20251218_075543,0.0745227630576959,0.07091526406221703,0.14543802711991294
JacksonDatabind_51,20251218_075532,20251218_075543,0.07155977578934603,0.06869567815238688,0.1402554539417329
Closure_90,20251218_075532,20251218_075543,0.07079663528435587,0.0680557545689447,0.13885238985330056
Closure_112,20251218_075532,20251218_075543,0.0712103718024728,0.06757665763888393,0.13878702944135674
Mockito_8,20251218_075532,20251218_075543,0.06483523813970216,0.06183368684834965,0.12666892498805182
Gson_1,20251218_075532,20251218_075543,0.06327299651792062,0.06066443616454761,0.12393743268246823
Lang_27,20251218_075532,20251218_075543,0.06217757874088914,0.0602224011085433,0.12239997984943243
Jsoup_64,20251218_075532,20251218_075543,0.06198001672364817,0.05836016212960613,0.12034017885325429
Closure_55,20251218_075532,20251218_075543,0.0611194800356194,0.05742044420464011,0.11853992424025951
JacksonDatabind_68,20251218_075532,20251218_075543,0.06021233362756773,0.05814056366216391,0.11835289728973164
JacksonDatabind_64,20251218_075532,20251218_075543,0.058471640195683294,0.056767881014629415,0.11523952121031271
Jsoup_80,20251218_075532,20251218_075543,0.05824399339510822,0.056188707965793026,0.11443270136090125
JacksonDatabind_7,20251218_075532,20251218_075543,0.05803116740855763,0.055421146458936435,0.11345231386749406
Closure_139,20251218_075532,20251218_075543,0.0573301321585622,0.054523912235488275,0.11185404439405047
Closure_173,20251218_075532,20251218_075543,0.05615568655726677,0.054424593690782785,0.11058028024804956
JacksonDatabind_22,20251218_075532,20251218_075543,0.0553690671871252,0.053189042839221656,0.10855811002634685
Math_63,20251218_075532,20251218_075543,0.05374232761070252,0.05210689807909107,0.1058492256897936
